Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Country,City,State/Province,Region,Product ID,Quantity Ordered
US-2021-128055-CHO-TRI-54000,2022-03-31,2022-04-15,Standard Class,128055,United States,San Francisco,California,Pacific,CHO-TRI-54000,2
US-2021-128055-CHO-SCR-58000,2022-03-31,2022-04-26,Standard Class,128055,United States,San Francisco,California,Pacific,CHO-SCR-58000,2
US-2021-138100-CHO-FUD-51000,2022-09-15,2022-10-23,Standard Class,138100,United States,New York City,New York,Atlantic,CHO-FUD-51000,2
US-2021-138100-CHO-MIL-31000,2022-09-15,2022-10-23,Standard Class,138100,United States,New York City,New York,Atlantic,CHO-MIL-31000,3
US-2022-121391-CHO-MIL-31000,2023-10-04,2023-10-07,First Class,121391,United States,San Francisco,California,Pacific,CHO-MIL-31000,2
US-2023-103982-CHO-SCR-58000,2024-03-03,2024-04-05,Standard Class,103982,United States,Round Rock,Texas,Interior,CHO-SCR-58000,1
US-2023-103982-CHO-NUT-13000,2024-03-03,2024-04-09,Standard Class,103982,United States,Round Rock,Texas,Interior,CHO-NUT-13000,3
US-2023-103982-CHO-FUD-51000,2024-03-03,2024-03-26,Standard Class,103982,United States,Round Rock,Texas,Interior,CHO-FUD-51000,7
US-2023-103982-CHO-MIL-31000,2024-03-03,2024-04-02,Standard Class,103982,United States,Round Rock,Texas,Interior,CHO-MIL-31000,3
US-2024-147039-CHO-NUT-13000,2025-06-29,2025-08-12,Standard Class,147039,United States,Minneapolis,Minnesota,Interior,CHO-NUT-13000,3
US-2021-158064-CHO-MIL-31000,2022-04-21,2022-05-18,Standard Class,158064,United States,Los Angeles,California,Pacific,CHO-MIL-31000,5
US-2021-130729-CHO-MIL-31000,2022-10-24,2022-11-12,Standard Class,130729,United States,Rancho Cucamonga,California,Pacific,CHO-MIL-31000,3
US-2022-140921-CHO-TRI-54000,2023-02-03,2023-02-04,First Class,140921,United States,Omaha,Nebraska,Interior,CHO-TRI-54000,2
US-2022-140921-CHO-NUT-13000,2023-02-03,2023-02-05,First Class,140921,United States,Omaha,Nebraska,Interior,CHO-NUT-13000,3
US-2022-109939-CHO-SCR-58000,2023-05-08,2023-05-23,Standard Class,109939,United States,Salem,Oregon,Pacific,CHO-SCR-58000,2
US-2022-114503-CHO-NUT-13000,2023-11-13,2023-12-10,Standard Class,114503,United States,Lebanon,Tennessee,Gulf,CHO-NUT-13000,6
US-2023-126613-CHO-TRI-54000,2024-07-10,2024-08-14,Standard Class,126613,United States,Mesa,Arizona,Pacific,CHO-TRI-54000,2
US-2023-131065-CHO-NUT-13000,2024-11-14,2024-11-22,Second Class,131065,United States,Atlanta,Georgia,Gulf,CHO-NUT-13000,2
US-2023-131065-CHO-SCR-58000,2024-11-14,2024-11-23,Second Class,131065,United States,Atlanta,Georgia,Gulf,CHO-SCR-58000,1
US-2024-169488-CHO-MIL-31000,2025-09-07,2025-09-10,First Class,169488,United States,Providence,Rhode Island,Atlantic,CHO-MIL-31000,2
US-2024-169488-CHO-TRI-54000,2025-09-07,2025-09-10,First Class,169488,United States,Providence,Rhode Island,Atlantic,CHO-TRI-54000,5
US-2021-155271-CHO-TRI-54000,2022-05-04,2022-05-04,Same Day,155271,United States,Middletown,Connecticut,Atlantic,CHO-TRI-54000,2
US-2023-121671-CHO-TRI-54000,2024-07-17,2024-08-04,Standard Class,121671,United States,Springfield,Missouri,Interior,CHO-TRI-54000,3
US-2023-121671-CHO-SCR-58000,2024-07-17,2024-08-10,Standard Class,121671,United States,Springfield,Missouri,Interior,CHO-SCR-58000,1
